id,citation,url,watershed_name,figure_num,figure_caption,figure_url,attribution,attribution_url,spatial_property,spatial_property_original,num_spatial_zones,temporal_property,temporal_property_original,num_temporal_zones,vegetation_info,vegetation_info_original,soil_info,soil_info_original,geol_info,geol_info_original,topo_info,topo_info_original,three_d_info,three_d_info_original,uncertainty_info,uncertainty_info_original,other_info,num_flux_from_sql,flux_list_from_sql,num_flux_hilary,flux1,flux1_taxonomy,flux2,flux2_taxonomy,flux3,flux3_taxonomy,flux4,flux4_taxonomy,flux5,flux5_taxonomy,flux6,flux6_taxonomy,flux7,flux7_taxonomy,flux8,flux8_taxonomy,flux9,flux9_taxonomy,flux10,flux10_taxonomy,flux11,flux11_taxonomy,flux12,flux12_taxonomy,flux13,flux13_taxonomy,flux14,flux14_taxonomy,num_store,store_list,num_stores,store1,store1_taxonomy,store2,store2_taxonomy,store3,store3_taxonomy,store4,store4_taxonomy,store5,store5_taxonomy,store6,store6_taxonomy,store7,store7_taxonomy,store8,store8_taxonomy,store9,store9_taxonomy,store10,store10_taxonomy
63,"Zimmer, M.A., McGlynn, B.L., 2017. Ephemeral and intermittent runoff generation processes in a low relief, highly weathered catchment. Water Resour. Res. 53, 7055–7077.",https://doi.org/10.1002/2016WR019742,"Duke Forest Research Watershed, North Carolina",12,Not open-access,,Not open-access,,N,N,1,Wetness,Low catchment storage/High catchment storage,2,N,N,N,N,N,N,N,N,N,N,N,N,Flux property: temporary/permanent; cross-sectional slope of water table shown; vegetation leaf on/off shown; flows shown as mediated by storage or soil structure,6.0,"Lateral matrix flow, Gaining stream, Lateral macropore flow at soil horizons, Losing stream, Intermittent streamflow, Ephemeral streamflow",7.0,Shallow flowpath (saturation from below),Lateral matrix flow, channel gain from deep groundwater,Gaining stream, saturated perched lateral flow along soil horizon,Lateral macropore flow at soil horizons, channel loss to deep groundwater,Losing stream, water table rise,Water table rise, intermittant streamflow,Intermittent streamflow, ephemeral streamflow,Ephemeral streamflow,,,,,,,,,,,,,,,9.0,"Soil water storage, Groundwater storage, Soil water storage, Soil water storage, Water table rise, Groundwater storage, Perched water tables, Channel storage, Water Table",8.0,A horizon,Soil water storage, B horizon,Soil water storage , C horizon,Soil water storage , weathered bedrock,Groundwater Storage, bedrock,Groundwater Storage , deep water table,Water table, perched water table,Perched water tables, channel storage,Channel storage,,,,
64,"Zuecco, G, D Penna, and M Borga. “Runoff Generation in Mountain Catchments: Long-Term Hydrological Monitoring in the Rio Vauz Catchment, Italy.” Cuadernos de Investigación Geográfica/Geographical Research Letters, no. 44 (2018): 397–428.",https://doi.org/10.18172/cig.3327,Rio Vauz Basin,10,"Perceptual model of runoff generation processes at BCC during different wetness conditions. The arrows indicate the water pathways. The longer the arrow, the larger the flux. The pie-charts indicate the typical relative fraction of event and pre-event water in stream water during runoff events. The sketched catchment display the expansion of saturated riparian areas from dry to wet conditions",https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/8c726967815d4e669fd72d28ea347719/data,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,N,N,1,Wetness,Dry/Wet conditions,2,N,N,N,N,N,N,N,N,Plan view + cross section,Shows plan view and cross section to see saturated area,N,N,Shows event/pre-event water fractions,4.0,"Saturation excess flow, Channel interception, Groundwater flow, Riparian Groundwater Flow",5.0,Channel precipitation,Channel interception, saturation overland flow,Saturation excess flow, riparian groundwater flow,Riparian Groundwater Flow, hillslope groundwater flow,Groundwater flow, expansion of saturated area,Expansion of saturated areas,,,,,,,,,,,,,,,,,,,5.0,"Channel storage, Expansion of saturated areas, Water Table, Expansion of saturated areas, Soil saturation",4.0,Channel,Channel storage, water table,Water Table, saturated area,Soil saturation, saturated area ,Expansion of saturated areas,,,,,,,,,,,,
65,"Briggs, M.A., Gazoorian, C.L., Doctor, D.H., and Burns, D.A., 2022, A multiscale approach for monitoring groundwater discharge to headwater streams by the U.S. Geological Survey Next Generation Water Observing System Program—An example from the Neversink Reservoir watershed, New York: U.S. Geological Survey Fact Sheet 2022–3077, 6 p., https://doi.org/10.3133/fs20223077.",https://doi.org/10.3133/fs20223077,"Neversink River watershed, Catskills, New York",1,"This conceptual diagram of the system of surface and groundwater flow in the Neversink Reservoir watershed shows warmer shallow groundwater flow paths contributing to streams through surficial sediments in summer, while discharge of cooler, deeper bedrock groundwater reaches streams directly from bedrock discharges and indirectly from hillslope flow paths.",https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/d19c351c44384bf1a49b337d9a9406cf/data,Public Domain,,N,N,1,N,N,1,N,N,N,N,Geological types described,Y,Topography described,Shows 3-D model,3D graphics,3D graphics,N,N,"Shows bedrock fractures, shows thickness of sediment",4.0,"Return Flow, Groundwater flow, Springflow, Pistonflow",4.0,Springs,Springflow,Groundwater Flow,Groundwater Flow,Bedrock groundwater flow,Pistonflow,Bedrock groundwater flow into colluvial sediments,Return flow,,,,,,,,,,,,,,,,,,,,,1.0,Bedrock fracture storage,1.0,Fracture,Bedrock fracture storage,,,,,,,,,,,,,,,,,,
66,"Lawrence, G.B., Burns, D.A., Baldigo, B.P., Murdoch, P.S., and Lovett, G.M., 2001, Controls of stream chemistry and fish populations in the Neversink watershed, Catskill Mountains, New York: U.S. Geological Survey Water-Resources Investigations Report 2000–4040, 15 p., https://pubs.er.usgs.gov/publication/wri004040.",https://doi.org/10.3133/wri004040,"Neversink River watershed, Catskills, New York",2,A conceptual model of how subsurface water moves to the stream channel,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/f8f504b037954df7aa3ed1a9dcfad49d/data,Public Domain,,N,N,1,N,N,1,N,N,Soil types described,Y,Geological types described,Y,Slopes described,Change in slope,N,N,N,N,Bedding planes and fractures shown,2.0,"Vertical drainage to groundwater, Springflow",2.0,Recharge,Vertical drainage to groundwater,Spring,Springflow,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"Groundwater storage, Surface water storage ",2.0,Wetland,Surface water storage,Shallow Ground Water,Groundwater Storage,,,,,,,,,,,,,,,,
67,"Spence, C., 2022, pers. comm.",,"Moss subwatershed, Baker Creek watershed, Yellowknife Northwest Territories",,"Representative hillslope in subarctic Canadian Shield Baker Creek, NWT, Canada",,Open-access,,Soil or Geology,Exposed bedrock/soils,2,N,N,1,Vegetation described,Vegetation species shown,Soil types described,Soil types shown,N,N,N,N,N,N,Unknown items identified,? shown for water table position,,6.0,"Infiltration, IE flow from impermeable areas, Evapotranspiration, Interception, Subsurface stormflow, Saturation excess flow",7.0,Saturation overland flow,Saturation excess flow,Evapotranspiration,Evapotranspiration,Subsurface stormflow,Subsurface stormflow,Interception,Interception,Hortonian surface flow,IE flow from impermeable areas,Preferential infiltration,Infiltration,,,,,,,,,,,,,,,,,3.0,"Water Table, Seasonal soil freeze/thaw, Lake storage",2.0,Water table,Water table,Headwater Lake,Lake storage,Water table follows frost table descent,Seasonal soil freeze/thaw,,,,,,,,,,,,,,
68,"Mulholland, P.J., 1993. Hydrometric and stream chemistry evidence of three storm flowpaths in Walker Branch Watershed. Journal of Hydrology, 151(2-4), pp.291-316.",https://doi.org/10.1016/0022-1694(93)90240-A,"Walker branch watershed, Tennessee",1,Not open-access,,Not open-access,,N,N,1,N,N,1,Vegetation described,Vegetation icons shown,N,N,N,N,Slopes described,Change in slope shown,N,N,N,N,N,6.0,"Springflow, Subsurface stormflow, Vertical drainage to groundwater, Ephemeral streamflow, Pistonflow, Gaining stream",6.0,Unsaturated drainage,Vertical drainage to groundwater,Ephemeral/perennial springs,Springflow,Stormflow,Subsurface stormflow,Baseflow,Gaining stream,Fracture flow,Pistonflow,Ephemeral streams,Ephemeral streamflow,,,,,,,,,,,,,,,,,4.0,"Water Table, Perched water tables, Soil water storage, Channel storage",4.0,Vadose zone,Soil water storage,Perched saturation,Perched water tables,Saturated soil zone (permanent saturation),Water table,Stream,Channel storage,,,,,,,,,,,,
69,"Banks, Edward W, Craig T Simmons, Andrew J Love, Roger Cranswick, Adrian D Werner, Erick A Bestland, Martin Wood, and Tania Wilson. “Fractured Bedrock and Saprolite Hydrogeologic Controls on Groundwater/Surface-Water Interaction: A Conceptual Model (Australia).” Hydrogeology Journal 17, no. 8 (2009): 1969–89.",https://doi.org/10.1007/s10040-009-0490-7,Scott Creek Catchment,8,Not open-access,,Not open-access,,N,N,1,Season,Season,2,N,N,N,N,N,N,Slopes described,Changes in slope,N,N,N,N,N,1.0,Groundwater flow,1.0,Inferred groundwater flowpaths,Groundwater flow,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,"Bedrock fracture storage, Water Table, Soil water storage",3.0,Water table,Water table,Soil and alluvial deposits,Soil water storage,Unweathered fractured rock,Bedrock fracture storage,,,,,,,,,,,,,,
70,"Reid M.A., Cheng X., Banks E.W., Jankowski J., Jolly I., Kumar P., Lovell D.M., Mitchell M., Mudd G.M., Richardson S., Silburn M. and Werner A.D. 2009. Catalogue of conceptual models for groundwater–stream interaction. eWater Technical Report. eWater Cooperative Research Centre, Canberra.",https://www.researchgate.net/profile/Ian-Jolly/publication/228421054_Catalogue_of_conceptual_models_for_groundwater-stream_interaction_in_eastern_Australia/links/09e4150f7703674121000000/Catalogue-of-conceptual-models-for-groundwater-stream-interaction-in-eastern-Australia.pdf,Scott Creek Catchment,CS1.5,Integrated conceptual model of the Scott Creek field site,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/626d71c77a934c66a1189ef56caeedcb/data,BY-NC type copyright (see the article),,Aspects,Northern/southern hillslope,2,N,N,1,N,N,Soil types described,Soil types described,Geological types described,Rock types described,Scale bar shown,Horizontal and vertical Scale bar shown,N,N,N,N,N,7.0,"Regional groundwater flow, Groundwater flow, Infiltration, Mixing, Overland Flow, Subsurface stormflow, Vertical drainage to groundwater",7.0,Surface runoff,Overland flow,Active recharge,Vertical drainage to groundwater,Infiltration,Infiltration,Shallow throughflow,Subsurface stormflow,Mixing,Mixing,Horizontal flows,Groundwater flow,Regional groundwater,Regional groundwater flow,,,,,,,,,,,,,,,2.0,"Water Table, Soil water storage",2.0,Water table,Water table,Duplex soils,Soil water storage,,,,,,,,,,,,,,,,
71,"Giertz, S., Diekkrüger, B. and Steup, G., 2006. Physically-based modelling of hydrological processes in a tropical headwater catchment (West Africa)–process representation and multi-criteria validation. Hydrology and Earth System Sciences, 10(6), pp.829-847.",https://doi.org/10.5194/hess-10-829-2006,"Aguima catchment, Upper Oueme",2a,Flowpaths on representative hillslopes in the Aguima catchment (natural vegetation),https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/0c0d4e67b3f84705b40e8573d71c3edb/data,CC-BY-NC-SA 2.5,https://creativecommons.org/licenses/by-nc-sa/2.5/,N,N,1,N,N,1,Vegetation described,Vegetation icons shown,Soil types described,Soil types shown,Geological types described,Rock types shown,N,N,3D graphics,3D graphics,N,N,Size of arrows determines the importance of flowpaths,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"Soil water storage, Soil stratification",2.0,Hillwash,Soil water storage,Plinthite,Soil stratification,,,,,,,,,,,,,,,,
72,"Laudon, H. and Sponseller, R.A., 2018. How landscape organization and scale shape catchment hydrology and biogeochemistry: Insights from a long‐term catchment study. Wiley Interdisciplinary Reviews: Water, 5(2), p.e1265.",https://doi.org/10.1002/wat2.1265,Krycklan,4,Not open-access,https://wires.onlinelibrary.wiley.com/cms/asset/9898147c-1e55-4a91-9d94-053eb5b54b48/wat21265-fig-0004-m.jpg,Not open-access,,Catchment spatial scale,Spatial scale,4,N,N,1,Vegetation described,Vegetation icons shown,N,N,N,N,N,N,N,N,N,N,N,4.0,"Groundwater flow, Regional groundwater flow, Gaining stream, Subsurface stormflow",4.0,Dominant source layer,Subsurface stormflow,Groundwater input zones,Gaining stream,Shallow groundwater,Groundwater flow,Deep groundwater contribution,Regional groundwater flow,,,,,,,,,,,,,,,,,,,,,3.0,"Soil saturation, Lake storage, Channel storage",3.0,Lake,Lake storage,Mire,Soil saturation,Channel icon,Channel storage,,,,,,,,,,,,,,
73,"McGuire, Kevin J, and Jeffrey J McDonnell. “Hydrological Connectivity of Hillslopes and Streams: Characteristic Time Scales and Nonlinearities.” Water Resources Research 46, no. 10 (2010).",https://doi.org/10.1029/2010WR009341,"WS10, H.J. Andrews, Oregon",11,Not open-access,https://agupubs.onlinelibrary.wiley.com/cms/asset/8412a81a-bcd0-4fd7-89b2-f5f41136c4f1/wrcr12709-fig-0011.png,Not open-access,,N,N,1,Wetness,Dry/transitional/wet antecedent conditions,3,N,N,N,N,N,N,N,N,N,N,N,N,N,3.0,"Vertical macropore flow, Subsurface stormflow, Vertical matrix flow",3.0,Saturated flow,Subsurface stormflow,Unsaturated flow,Vertical matrix flow,Unsaturated preferential flow,Vertical macropore flow,,,,,,,,,,,,,,,,,,,,,,,2.0,"Soil water storage, Groundwater storage",2.0,Soil layer,Soil water storage,Subsoil layer,Groundwater storage,,,,,,,,,,,,,,,,
74,"Ziegler, A.D., Negishi, J.N., Sidle, R.C., Noguchi, S. and Nik, A.R., 2006. Impacts of logging disturbance on hillslope saturated hydraulic conductivity in a tropical forest in Peninsular Malaysia. Catena, 67(2), pp.89-104.",https://doi.org/10.1016/j.catena.2006.02.008,Bukit Tarek,4b,Not open-access,https://ars-els-cdn-com/content/image/1-s2.0-S0341816206000610-gr4.jpg,Not open-access,,N,N,1,N,N,1,N,N,Soil types described,Soil types shown,N,N,N,N,N,N,N,N,N,3.0,"Exfiltration, Groundwater flow, Subsurface stormflow",3.0,Throughflow,Subsurface stormflow,Exfiltration,Exfiltration,Groundwater,Groundwater flow,,,,,,,,,,,,,,,,,,,,,,,3.0,"Soil water storage, Groundwater storage, Soil stratification",3.0,Permeable mineral matrix,Soil water storage,Flow-restricting clay,Soil stratification,Saprolite and/or bedrock,Groundwater storage,,,,,,,,,,,,,,
75,"Sanda, M., Vitvar, T., Kulasova, A., Jankovec, J., & Cislerova, M. (2014). Run-off formation in a humid, temperate headwater catchment using a combined hydrological, hydrochemical and isotopic approach (Jizera Mountains, Czech Republic). Hydrological Processes, 28(8), 3217–3229.",https://doi.org/10.1002/hyp.9847,Uhlířská,8,Not open-access,https://onlinelibrary-wiley-com.libproxy.sdsu.edu/cms/asset/f706a5b4-2d19-4873-9725-e03bf056f0e2/hyp9847-fig-0008-m.jpg,Not open-access,,N,N,1,N,N,1,N,N,Soil types described,Soil types shown,Geological types described,Rock types shown,Scale bar shown,Horizontal and vertical Scale bar shown,N,N,N,N,N,2.0,"Channel flow, Subsurface stormflow",2.0,Hillslope Cambisol trench stormflow,Subsurface stormflow,Streamflow,Channel flow,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"Groundwater storage, Soil water storage",2.0,Matrix water,Soil water storage,Groundwater,Groundwater storage,,,,,,,,,,,,,,,,
76,"Katsuyama, M., Ohte, N., & Kabeya, N. (2005). Effects of bedrock permeability on hillslope and riparian groundwater dynamics in a weathered granite catchment. Water Resources Research, 41, W01010. ",https://doi.org/10.1029/2004WR003275,Kiryu Experimental Watershed,9,Not open-access,https://agupubs-onlinelibrary-wiley-com.libproxy.sdsu.edu/cms/asset/e8dd89ed-5cda-4cdd-9ce7-ecba7205f9fd/wrcr10039-fig-0009.png,Not open-access,,N,N,1,Event,Non-stormflow/stormflow condition,2,N,N,N,N,N,N,N,N,N,N,N,N,Saturated hydraulic conductivity estimates shown,3.0,"Groundwater flow, Lateral matrix flow at soil-bedrock interface, Vertical drainage to groundwater",3.0,Vertical infiltration,Vertical drainage to groundwater,Saturated throughflow,Lateral matrix flow at soil-bedrock interface,Bedrock flow,Groundwater flow,,,,,,,,,,,,,,,,,,,,,,,1.0,Water Table,1.0,Water table symbol,Water table,,,,,,,,,,,,,,,,,,
77,"Newman, B. D., Campbell, A. R., & Wilcox, B. P. (1998). Lateral subsurface flow pathways in a semiarid ponderosa pine hillslope. Water Resources Research, 34(12), 3485–3496.",https://doi.org/10.1029/98WR02684,Los Alamos National Laboratory's Environmental Research Park,9,Not open-access,,Not open-access,,N,N,1,N,N,1,Vegetation described,Vegetation icons shown,Soil types described,Soil types shown,Geological types described,Rock types shown,N,N,3D graphics,3-D graphics,N,N,N,4.0,"Infiltration into bedrock, Vertical macropore flow, Lateral matrix flow, Lateral macropore flow",4.0,Vertical bypassing,Vertical macropore flow,Matrix flow,Lateral matrix flow,Preferential flow,Lateral macropore flow,Flow into tuff,Infiltration into bedrock,,,,,,,,,,,,,,,,,,,,,3.0,"Organic Layer, Soil stratification, Perched water tables",3.0,Organic litter and grass cover,Organic layer,Restrictive layer,Soil stratification,Ponding on top of the B horizon,Perched water tables,,,,,,,,,,,,,,
78,"Soulsby, C., Tetzlaff, D., Rodgers, P., Dunn, S. and Waldron, S., 2006. Runoff processes, stream water residence times and controlling landscape characteristics in a mesoscale catchment: An initial evaluation. Journal of Hydrology, 325(1-4), pp.197-221.",https://doi.org/10.1016/j.jhydrol.2005.10.024,"Feshie, Scotland",10,Not open-access,https://ars-els-cdn-com.libproxy.sdsu.edu/content/image/1-s2.0-S0022169405005433-gr10.jpg,Not open-access,,Soil or Geology,HOST soil type,5,N,N,1,N,N,Soil types described,Soil types shown,Geological types described,Rock types shown,Topography described,Topographic position shown,N,N,N,N,N,4.0,"Overland Flow, Vertical drainage to groundwater, Groundwater flow, Subsurface stormflow",4.0,Overland flow,Overland flow,Shallow/deep sub-surface stormflow,Subsurface stormflow,Groundwater flow,Groundwater flow,Groundwater recharge,Vertical drainage to groundwater,,,,,,,,,,,,,,,,,,,,,2.0,"Soil stratification, Soil water storage",2.0,Upper soil,Soil water storage,Low permeability substrate,Soil stratification,,,,,,,,,,,,,,,,
79,"Shanley, J.B., Sebestyen, S.D., McDonnell, J.J., McGlynn, B.L. and Dunne, T., 2015. Water's Way at Sleepers River watershed–revisiting flow generation in a post‐glacial landscape, Vermont USA. Hydrological Processes, 29(16), pp.3447-3459.",https://doi.org/10.1002/hyp.10377,"Sleepers River, Vermont",2,Not open-access,https://onlinelibrary-wiley-com.libproxy.sdsu.edu/cms/asset/b1e03f6d-6c37-493f-8e21-6047f3a79013/hyp10377-fig-0002-m.jpg,Not open-access,,Catchment spatial scale,Hillslope/small catchment scale,2,Wetness,Baseflow – stormflow,3,N,N,N,N,N,N,Slopes described,Slopes described,N,N,N,N,N,4.0,"Subsurface stormflow, Snowmelt, Return Flow, Saturation excess flow",4.0,Melt,Snowmelt,SOF,Saturation excess flow,Subsurface flow,Subsurface stormflow,Return flow,Return Flow,,,,,,,,,,,,,,,,,,,,,2.0,"Soil saturation, Channel storage",2.0,Maximum saturated area,Soil saturation,Stream,Channel storage,,,,,,,,,,,,,,,,
80,"Liu, F., Williams, M.W. and Caine, N., 2004. Source waters and flow paths in an alpine catchment, Colorado Front Range, United States. Water Resources Research, 40(9).",https://doi.org/10.1029/2004WR003076,"Martinelli catchment, Green Lakes Valley, Colorado",9,Not open-access,https://agupubs-onlinelibrary-wiley-com.libproxy.sdsu.edu/cms/asset/4bbf605a-563d-43c5-8e7a-182506e657df/wrcr9977-fig-0009.png,Not open-access,,N,N,1,Season,Days of year,3,N,N,N,N,N,N,Slopes described,Slopes described,N,N,N,N,Arrow width represents flow path importance,4.0,"Gaining stream, Snowmelt, Overland Flow, Infiltration",4.0,Surface flow,Overland flow,Baseflow,Gaining stream,Snowmelt infiltration,Infiltration,Snowmelt infiltration,Snowmelt,,,,,,,,,,,,,,,,,,,,,3.0,"Soil water storage, Water Table, Snow storage",3.0,Snow,Snow storage,Talus or soil water,Soil water storage,Water table,Water table,,,,,,,,,,,,,,
81,"Liu, F., Williams, M.W. and Caine, N., 2004. Source waters and flow paths in an alpine catchment, Colorado Front Range, United States. Water Resources Research, 40(9).",https://doi.org/10.1029/2004WR003076,"GL4 catchment, Green Lakes Valley, Colorado",9,Not open-access,https://agupubs-onlinelibrary-wiley-com.libproxy.sdsu.edu/cms/asset/4bbf605a-563d-43c5-8e7a-182506e657df/wrcr9977-fig-0009.png,Not open-access,,N,N,1,Season,Days of year,3,N,N,N,N,N,N,Slopes described,Slopes described,N,N,N,N,Arrow width represents flow path importance,4.0,"Overland Flow, Infiltration, Gaining stream, Snowmelt",4.0,Surface flow,Overland flow,Baseflow,Gaining stream,Snowmelt infiltration,Infiltration,Snowmelt infiltration,Snowmelt,,,,,,,,,,,,,,,,,,,,,3.0,"Soil water storage, Water Table, Snow storage",3.0,Snow,Snow storage,Talus or soil water,Soil water storage,Water table,Water table,,,,,,,,,,,,,,
82,"Webb, R.W., Musselman, K.N., Ciafone, S., Hale, K.E. and Molotch, N.P., 2022. Extending the vadose zone: Characterizing the role of snow for liquid water storage and transmission in streamflow generation. Hydrological Processes, 36(3), p.e14541.",https://doi-org.libproxy.sdsu.edu/10.1002/hyp.14541,"Saddle Catchment, Niwot Ridge LTER, Boulder, Colorado",11,Conceptual diagram showing the meltwater flow through-snow processes that occur,https://onlinelibrary.wiley.com/cms/asset/de186cac-63cb-4fd2-8a6f-ca86fe95ac24/hyp14541-fig-0011-m.png,CC-BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,N,N,1,N,N,1,N,N,N,N,N,N,Slopes described,Slopes described,N,N,N,N,N,5.0,"Infiltration excess flow, Basal flow, Snow drifting, Macropore flow within snowpack, Saturation excess flow",5.0,Wind drift,Snow drifting,Saturation excess through-snow flow,Saturation excess flow,Advancement of lateral wetting front,Basal flow,Accumulation of flowpaths,Macropore flow within snowpack,Infiltration excess,Infiltration excess flow,,,,,,,,,,,,,,,,,,,4.0,"Channel storage, Snow storage, Soil water storage, Formation of layers/lenses",4.0,Snow,Snow storage,Soil,Soil water storage,Stream,Channel storage,Ice lense,Formation of layers/lenses,,,,,,,,,,,,
83,"Koch, J.C., Kikuchi, C.P., Wickland, K.P. and Schuster, P., 2014. Runoff sources and flow paths in a partially burned, upland boreal catchment underlain by permafrost. Water Resources Research, 50(10), pp.8141-8158.",https://doi.org/10.1002/2014WR015586,"West Twin Creek, Nome Creek Watershed, Alaska",10,Not open-access,https://agupubs-onlinelibrary-wiley-com.libproxy.sdsu.edu/cms/asset/fd48d12e-06a2-428b-9fbd-7b7cfb49fb33/wrcr21170-fig-0010-m.jpg,Not open-access,,Land use / Land cover,Hillslope position/burn status,3,N,N,1,Vegetation described,Vegetation icons shown,N,N,N,N,N,N,N,N,N,N,N,7.0,"Groundwater flow, Gaining stream, Subsurface stormflow, Infiltration, Lateral macropore flow at soil horizons, Lateral macropore flow, Lateral matrix flow",7.0,Rapid drainage/throughflow,Subsurface stormflow,Infiltration,Infiltration,Fill and spill drainage,Lateral macropore flow at soil horizons,Shallow aquifer drainage,Groundwater flow,Stream baseflow,Gaining stream,Rapid preferential flow,Lateral macropore flow,Deep slow drainage,Lateral matrix flow,,,,,,,,,,,,,,,4.0,"Perched water tables, Organic Layer, Water Table, Permafrost storage",4.0,Organics,Organic layer,Permafrost,Permafrost storage,Water table symbol,Water table,Water table symbol,Perched water tables,,,,,,,,,,,,
84,"Verry, E.S., Brooks, K.N., Nichols, D.S., Ferris, D.R. and Sebestyen, S.D. (2011) Watershed hydrology. In: Kolka, R.K., Sebestyen, S.D., Verry, E.S. and Brooks, K.N. (eds) Peatland Biogeochemistry and Watershed Hydrology at the Marcell Experimental Forest. CRC Press, Boca Raton, Florida, pp. 193–212.",https://doi.org/10.1201/b10708,"Marcell, Minesota",7.1,Not open-access,,Not open-access,,N,N,1,N,N,1,Vegetation described,Tree species described,Soil types described,Soil types shown,N,N,N,N,N,N,N,N,N,4.0,"Channel flow, Vertical drainage to groundwater, Interception, Subsurface stormflow",4.0,Interception,Interception,Near surface flow/subsurface flow,Subsurface stormflow,Arrows shown,Vertical drainage to groundwater,Streamflow,Channel flow,,,,,,,,,,,,,,,,,,,,,1.0,Water Table,1.0,Regional water table,Water table,,,,,,,,,,,,,,,,,,
85,"Hartmann, A., Kralik, M., Humer, F., Lange, J. and Weiler, M., 2012. Identification of a karst system’s intrinsic hydrodynamic parameters: upscaling from single springs to the whole aquifer. Environmental Earth Sciences, 65, pp.2377-2389.",https://doi.org/10.1007/s12665-011-1033-9,Zoebelbodem,2,Not open-access,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12665-011-1033-9/MediaObjects/12665_2011_1033_Fig2_HTML.gif?as=webp,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,Slopes described,Slopes described,N,N,N,N,N,7.0,"Lateral unsaturated bedrock flow, Pistonflow, Groundwater flow, Springflow, Lateral unsaturated bedrock flow, Infiltration, Groundwater flow",7.0,Infiltration,Infiltration,Preferential flow in faults and conduits,Pistonflow,Diffuse flow in upper rock, Lateral unsaturated bedrock flow,Diffuse flow in debris, Lateral unsaturated bedrock flow,Unsaturated matrix flow,Groundwater flow,Saturated matrix flow,Groundwater flow,Springs,Springflow,,,,,,,,,,,,,,,6.0,"Water Table, Channel storage, Unsaturated bedrock storage, Unsaturated bedrock storage, Soil water storage, Bedrock matrix storage",6.0,Soil,Soil water storage,Upper rock layer,Unsaturated bedrock storage,Unsaturated zone,Unsaturated bedrock storage,Saturated zone,Bedrock matrix storage,Stream,Channel storage,Water table,Water table,,,,,,,,
86,"Gao, H., Han, C., Chen, R., Feng, Z., Wang, K., Fenicia, F. and Savenije, H., 2022. Frozen soil hydrological modeling for a mountainous catchment northeast of the Qinghai–Tibet Plateau. Hydrology and Earth System Sciences, 26(15), pp.4187-4208.",https://doi.org/10.5194/hess-26-4187-2022,"Hulu catchment, Tibet",7,The perceptual and conceptual FLEX-Topo-FS frozen soil hydrological models.,https://hess.copernicus.org/articles/26/4187/2022/hess-26-4187-2022-f07-thumb.png,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/,Land use / Land cover,Permafrost/seasonal frozen soil,2,Season,Freezing period/Frozen period/Early thawing period/Thawed period,4,N,N,N,N,N,N,Slopes described,Slopes described,N,N,N,N,N,3.0,"Subsurface stormflow, Gaining stream, Springflow",3.0,Water flow,Subsurface stormflow,Water flow,Gaining stream,Spring,Springflow,,,,,,,,,,,,,,,,,,,,,,,5.0,"Permafrost storage, Channel storage, Seasonal soil freeze/thaw, Water Table, Depression storage",5.0,Frozen soil,Permafrost storage,Seasonal frozen soil,Seasonal soil freeze/thaw,Surface water,Channel storage,Groundwater surface,Water table,Surface water,Depression storage,,,,,,,,,,
87,"Guida, D., Cuomo, A., Longobardi, A. and Villani, P., 2020. Geohydrology of a Reference Mediterranean Catchment (Cilento UNESCO Geopark, Southern Italy). Applied Sciences, 10(12), p.4117.",https://doi.org/10.3390/app10124117,Ciciriello,13,Perceptual model of the Ciciriello catchment.,https://www.mdpi.com/applsci/applsci-10-04117/article_deploy/html/images/applsci-10-04117-g013.png,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/,N,N,1,Season,Dry season/wet season,2,N,N,N,N,N,N,Slopes described,Slopes described,3D graphics,3D graphics,N,N,Sediment transfer,5.0,"Capillary rise, Exfiltration, Subsurface stormflow, Overland Flow, Infiltration",6.0,Capillary fringe,Capillary rise,Subsurface flow,Subsurface stormflow,Exfiltration zone,Exfiltration,Surficial flow,Overland flow,Infiltration,Infiltration,,,,,,,,,,,,,,,,,,,3.0,"Channel storage, Groundwater ridging, Groundwater storage",2.0,Groundwater,Groundwater storage,Active channel,Channel storage,Groundwater ridging,Groundwater ridging,,,,,,,,,,,,,,
